title,description,authors,publisher,publishedDate,genres,ratingsCount
Marshall Hollenzer is Driving,"What if you believed that ""for the price of a cup of coffee you could save a child's life?"" What if your life closely resmbled the life of a caged budgie bird? What if the most real part of your life were the words in books? Would you let your world shatter?",['Owen Egerton'],iUniverse,2000-08-01,['Fiction'],
Saint Martin de Porres,The close friend of St. Rose of Lima; he became a Dominican lay brother at 15 and spent his life (died at 61) helping those in need. Many great anecdotes telling how he raised the dead; multiplied food; cured the sick; healed wounded animals; visited those in need through bilocation; did extreme penance and gained the name of Apostle of Charity; patron of social justice; father of the sick and poor and helper in hopeless cases. The Dominican Order\'s official biography of him. Truly inspiring!,"['Giuliana Cavallini', 'Caroline Holland']",Tan Books & Pub,1979-01,['Biography & Autobiography'],1.0
Cienfuegos (Exitos) (Spanish Edition),"Een oude Cubaanse visser die lang niets gevangen heeft, gaat ver de zee op om zich te bewijzen tegenover zijn jongere collega's.","['Ernest Miller Hemingway', 'J.W.F. Werumeus Buning']",Uitgeverij Strengholt,2001,,
The Bruce Lee Story,"The widow of the late martial arts star traces his life from his childhood in Hong Kong, to his education in the United States, his career as an actor, and his untimely death","['Linda Lee', 'Mike Lee']",Black Belt Communications,1989,['Biography & Autobiography'],3.0
Sweet Dream Baby,"Sent to live in the humidity of rural Florida with his grandparents and his sixteen-year-old Aunt Delia for the summer, twelve-year-old Travis becomes absorbed in the closed ways of small-town life. Captivated by Delia, Travis watches her attempt to find a place for herself in the socially stunted, gossip-driven town. Delia's secrets go beyond what Travis can understand, but he believes that he alone can save her--a belief that not only forces him to grow up fast, but one that builds to a dangerous and disturbing climax. In trying to free Delia from her past, Travis leads her into a shocking present and a most uncertain future. In a work at once honest, chilling and compulsively addictive, author Sterling Watson has created a time and place where rock 'n' roll hums from AM radios, steam rises from a secluded riverbed and violent summer storms threaten the peace of silent nights. Watson's characters are brought vividly to life through Travis's touching, powerful and intensely personal voice. A dark and evocative coming of age tale, Sweet Dream Baby begins steeped in innocence and ends in a dramatically different place. ""I can't remember a book that sneaked up and grabbed me the way Sweet Dream Baby did. It's a real shocker by a very good writer."" --Elmore Leonard ""Sterling Watson's Sweet Dream Baby is one of the finest novels I've read in years, an incandescent blend of gothic noir, Faulknerian dreamscape and bittersweet coming-of-age story. Months after reading it, it haunts me still."" -Dennis Lehane ""Sterling Watson's Sweet Dream Baby brings us the words and music, the tastes and smells of that special time-as well as its heartache and secret shame. I was utterly absorbed in these fierce pages."" -Fred Chappell, author of Look Back All the Green Valley ""Sweet Dream Baby is a beautiful book. Sterling Watson is surehanded and telling in a story that is as elegiac as it is gripping."" -Michael Connelly, author of Chasing the Dime ""Some delicious page-turning.""-Kirkus Reviews A Book Sense 76 Top 10 Selection Named to Top Ten Crime Books of 2002, Toronto Globe and Mail ""Watson proves himself a first-rate storyteller.""-Publishers Weekly ""A comprehensive work of art that is as thought-provoking as it is disturbing.""-Orlando Sentinel",['Sterling Watson'],"Sourcebooks, Inc.",2004-02-01,['Fiction'],1.0
A Tally of Types,"Stanley Morison provided the impetus and judgement behind the programme of typographical revival carried through by the Monotype Corporation in the 1920s and early 1930s. The Tally is an account, historical, critical and functional, of the types cut under Morison's direction during this period.","['Stanley Morison', 'Cambridge University Press']",CUP Archive,1973-06-07,['Language Arts & Disciplines'],1.0
Stuck with You (Time of Your Life),"""If you need a dose of upbeat medicine - this is it."" TONY CAMPOLO, PHD - EASTERN UNIVERSITY ""A book that sizzles with wisdom. Tremendous thoughts to rekindle the fires of a servant."" CHARLES ""TREMENDOUS"" JONES, AUTHOR OF Life Is Tremendous ""This book reminds you to become your best. Uplifting and easy reading."" DAVID C. BENTALL-NEXT STEP FAMILY CONSULTING ""Read this book from cover to cover. It is a must for anyone wanting to feel hopeful, inspired, energized. Greg not only talks the talk, he walks the walk."" VALERIE CADE, CSP, AUTHOR OF Bully Free At Work ""If you need a book on vision - this is a must. I have used Greg's book in speeches, lectures and sermons. Absolutely fantastic!"" REV. DR. KARL KELLER, PASTOR - LUTHERAN CHURCH OF CANADA",['Greg A. Gerrie'],FriesenPress,2013-07-11,,
"The MIDI Companion: The Ins, Outs and Throughs","(Book). Here's your complete guide to using MIDI synthesizers, samplers, soundcards, sequencers, computers and more! The MIDI Companion shows how a MIDI system or systems for a wide range of situations can be assembled quickly, easily and trouble-free. Describes how to synchronize MIDI sequencers, drum machines, multitrack equipment, SMPTE-based equipment, and other MIDI instruments. Describes each and every MIDI code and the techniques used in transmitting these codes between various MIDI devices. Explains how to get the most out of any musical situation that calls for the use of synthesizers and electronic musical instruments. This totally new edition includes more information on the actual applications and musical uses for MIDI. A complete chapter devoted to General MIDI, plus the charts for GM sounds. Two additional new chapters on The MIDI Studio and MIDI And The Personal Computer. New diagrams, updated diagrams, new graphics. Profusely illustrated with pictures, photographs and diagrams, and also includes a detailed glossary.",['Jeffrey Carl Rona'],Hal Leonard Corporation,1994,['Music'],
His Grace Endures (Regency Romance),"While trying to help her younger sister-in-law find a respectable mate in London, Deirdre Broghan finds herself beset by the man she once left standing at the altar, the devilish and devilishly handsome Duke of Conover. Original.",['Emma Jensen'],Ivy Books,1998-04-29,['Fiction'],
Vino Para Dummies,"Wine enthusiasts and novices, raise your glasses! The #1 wine book has been extensively updated! If you’re a connoisseur, Wine For Dummies, Fourth Edition will get you up to speed on what’s in and show you how to take your hobby to the next level. If you’re new to the world of wine, it will clue you in on what you’ve been missing and show you how to get started. It begins with the basic types of wine, how wines are made, and more. Then it gets down to specifics: How to handle snooty wine clerks, navigate restaurant wine lists, decipher cryptic wine labels, and dislodge stubborn corks How to sniff and taste wine How to store and pour wine and pair it with food Four white wine styles: fresh, unoaked; earthy; aromatic; rich, oaky Four red wine styles: soft, fruity, and relatively light-bodied; mild-mannered, medium-bodied; spicy; powerful, full-bodied, and tannic What’s happening in the “Old World” of wine, including France, Italy, Spain, Portugal, Germany, Switzerland, Austria, Hungary, and Greece What’s how (and what’s not) in the New World of Wine, including Australia, New Zealand, Chile, Argentina, and South Africa U.S. wines from California, Oregon, Washington, and New York Bubbling beauties and medieval sweets: champagne, sparkling wines, sherry, port, and other exotic dessert wines Authors Ed McCarthy, CWE, who is a regular contributor to Wine Enthusiast and The Wine Journal and Mary Ewing-Mulligan, MW, who owns the International Wine Center in New York, have co-authored six wine books in the For Dummies series. In an easy-to-understand, unpretentious style that’s as refreshing as a glass of Chardonnay on a summer day, they provide practical information to help you enjoy wine, including: Real Deal symbols that alert you to good wines that are low in price compared to other wines of similar type, style, or quality A Vintage Wine Chart with specifics on numerous wines Info on ordering wine from out of state, collecting wine, and more Wine For Dummies, Fourth Edition is not just a great resource and reference, it’s a good read. It’s full-bodied, yet light…rich, yet crisp…robust, yet refreshing….","['Ed McCarthy', 'Mary Ewing-Mulligan']",John Wiley & Sons,2011-03-03,['Cooking'],7.0
Enterprise Resources Planning and Beyond: Integrating Your Entire Organization (Resource Management),"To achieve success in today's business climate you must do more than provide high quality low cost products to customers when and how they want them. Customers and suppliers require fully integrated information - throughout the supply chain or value chain. You must integrate your organization so completely that executive decisions are implemented effortlessly. Competitive pressures often cause a reduction in prices, in spite of continually rising costs. A decrease in prices paired with increased costs quickly eliminates any profitability and threatens your company's ability to survive. This book shows you how you can reduce costs through the elimination of waste caused by poor communication and coordination throughout a company as well as between the company, its suppliers, and its customers. The author explains Enterprise Resource Planning (ERP) in non-technical terms, describing how an ERP system can fully integrate all functions in your manufacturing organization. He demonstrates the system's capability to increase efficiency and profitability - and to delight the customer - as well as its current deficiencies. In addition to his thorough coverage of ERP, the author introduces Total Enterprise Integration (TEI), the process of integrating all the information required to fully support a manufacturing company. TEI represents a logical extension of complete information integration throughout a manufacturing enterprise and into the supply chain. This new concept shows you how the intelligent use of work flow allows responsibility to go to the most appropriate front-line decision makers while maintaining proper budgetary and operational controls. The power of TEI is in the integration of communication across the entire manufacturing company, and out through the supply chain to customers and suppliers. Enterprise Resource Planning and Beyond: Integrating Your Entire Organization focuses on what a fully integrated system can do for you. Features",['Gary A Langenwalter'],CRC Press,2020-01-03,['Business & Economics'],
Sexual Arena and Women's Liberation,,['Edward J. Bardon'],Burnham Incorporated Pub,1978,['Feminism'],
Spousal Support In Network Marketing,"Ever run into someone who is negative toward Network Marketing? Then this book is for you! The purpose of this book is to help spouses of network marketers to understand the industry and the reasons their spouse is involved. It will also assist people in the recruiting process when encountering the occasional ""negative spouse."" Network marketing can be a very rewarding lifestyle, based on personal experience, only if both spouses are in agreement and have a good understanding of others positions in their network marketing business. Benefits to Discover: * A better understanding of the network marketinb business *Understanding of why your spouse is involved *How just a little support can make a huge difference in your spouses' success *How to build a stronger relationship with your spouse and family *Understanding personal growth and how it can change your life *How to turn negatives into postives *How to dream again and truly realize those dreams",['Donna Fason'],,2004-01,['Business & Economics'],
The California Heritage Cookbook,"Food - its cultivation, preparation and communal consumption - has long been considered a form of cultural heritage. A dynamic, living product, food creates social bonds as it simultaneously marks off and maintains cultural difference. In bringing together anthropologists, historians and other scholars of food and heritage, this volume closely examines the ways in which the cultivation, preparation, and consumption of food is used to create identity claims of 'cultural heritage' on local, regional, national and international scales. Contributors explore a range of themes, including how food is used to mark insiders and outsiders within an ethnic group; how the same food's meanings change within a particular society based on class, gender or taste; and how traditions are 'invented' for the revitalization of a community during periods of cultural pressure. Featuring case studies from Europe, Asia and the Americas, this timely volume also addresses the complex processes of classifying, designating, and valorizing food as 'terroir,' 'slow food,' or as intangible cultural heritage through UNESCO. By effectively analyzing food and foodways through the perspectives of critical heritage studies, this collection productively brings two overlapping but frequently separate theoretical frameworks into conversation.","['Ronda L. Brulotte', 'Michael A. Di Giovine']",Routledge,2016-04-29,['Social Science'],
Tequila: A Natural and Cultural History,"This comprehensive guide to tequila's varieties, production and history shares marks of distinction for connoisseurs and highlights the link between artisanal agave cultivation and final flavor, arguing for a return to cultivation of heritage crops.","['Ana Guadalupe Valenzuela Zapata', 'Gary Paul Nabhan']",University of Arizona Press,2003,['History'],
Dumb witness,"An elderly spinster has been poisoned in her country home...Everyone blamed Emily's accident on a rubber ball left on the stairs by her frisky terrier. But the more she thought about her fall, the more convinced she became that one of her relatives was trying to kill her.On April 17th she wrote her suspicions in a letter to Hercule Poirot. Mysteriously he didn't receive the letter until June 28th... by which time Emily was already dead...",['AGATHA. CHRISTIE'],HarperCollins,2018-03-22,,21.0
"The Gun Digest Book of the 1911: A Complete Look at the Use, Care & Repair of the 1911 Pistol, Vol. 1","Does Your 1911 Stack Up? &break;&break;When John Browning designed the Model 1911 pistol for Colt's Manufacturing Co. he created the standard by which pistols have been judged for more than 90 years. &break;&break;Now Patrick Sweeney provides the first in-depth look at the Model 1911 in all its forms, complete with information on ammunition, after-market parts and performance testing of semi-custom guns. This book shows you what the 1911 is and what it can become. If you own a 1911 now or have ever considered buying one, this book is for you.",['Patrick Sweeney'],Gun Digest Books,2001-10-01,['Sports & Recreation'],
Healing Triangle of Light,"A complete method for bringing the healing light of the soul, the Solar angel, and the angelic healers into the physical body. taught in workshops for many years, these easy-to-learn processes have helped thousands to heal and upgrade the cells in their body.",['LaUna Huffines'],H J Kramer,1994-09,"['Body, Mind & Spirit']",1.0
Memoirs of China,"This unprecedented volume contains the memoirs of a Chinese diplomat as he remembers the events surrounding World War II. Concerned that the West is basically ignorant about what occurred in China during the 1930s and 1940s, Dr. Li, former Major General in the Chinese Nationalist Army and one time aide de camp of Acting President General Li Tsungjen, recounts personal memories of Generalissimo Chiang Kai-shek. Dr. Li, who is nevertheless staunchly anti-Communist, maintains that China could not have successfully resisted the Japanese conquest without Chiang's leadership. This is a highly personal memoir, shaped by his excellent knowledge of contemporary history, and a genuine attempt to place Chiang Kai-shek in his historical context. Co-published with Atlantic Research and Publications, Inc.","['Tsi-gziou Li', 'Roman Rome']",University Press of Amer,1989,['History'],
Advertising and a Democratic Press,"In this provocative book, C. Edwin Baker argues that print advertising seriously distorts the flow of news by creating a powerfully corrupting incentive: the more newspapers depend financially on advertising, the more they favor the interests of advertisers over those of readers. Advertising induces newspapers to compete for a maximum audience with blandly ""objective"" information, resulting in reduced differentiation among papers and the eventual collapse of competition among dailies. Originally published in 1994. The Princeton Legacy Library uses the latest print-on-demand technology to again make available previously out-of-print books from the distinguished backlist of Princeton University Press. These editions preserve the original texts of these important books while presenting them in durable paperback and hardcover editions. The goal of the Princeton Legacy Library is to vastly increase access to the rich scholarly heritage found in the thousands of books published by Princeton University Press since its founding in 1905.",['C. Edwin Baker'],,2016-04-03,['Business & Economics'],
Rakaposhi,"The western Himalayas and the Karakoram range ' earthquakes ' landslides ' the world's highest paved international highway (dangerous, too) - ethnic tensions ' ancient cultures ' staggering beauty: 'Around Rakaposhi' is an account of two and a half years of living, working, and travelling among the Muslim people of the remote yet politically sensitive regions of 'Pakistani Kashmir'.",['Brian H. Jones'],Brian H Jones,2010-05-30,['Travel'],1.0
Jean Paul Sartres No Exit and the Flies,"English translations of four plays which dramatize the theme of man's responsibility for his own actions, by the leader of French existentialism",['Jean-Paul Sartre'],Vintage,1976,['Drama'],22.0
Point/Counterpoint: Opposing Perspectives on Issues of Drug Policy,"MySearchLab provides students with a complete understanding of the research process so they can complete research projects confidently and efficiently. Students and instructors with an internet connection can visit www.MySearchLab.com and receive immediate access to thousands of full articles from the EBSCO ContentSelect database. In addition, MySearchLab offers extensive content on the research process itself—including tips on how to navigate and maximize time in the campus library, a step-by-step guide on writing a research paper, and instructions on how to finish an academic assignment with endnotes and bibliography. The world of legal and illegal drugs is examined from a sociological, historical, and biological perspective through articles garnered from popular magazines, medical journals, and government documents. The book opens with selections on the question of drug legalization, and then extends the parameters of the discussion to the social implications of drug policy. Next, the prevention and medicalization of drug dependency and abuse are considered in light of recently published research. Finally, the government's role in decriminalization and regulation of marijuana and prescription drugs is investigated and critiqued. Designed for educators that focus on drugs and alcohol use and abuse in both psychology and health departments.",['Charles F. Levinthal'],Pearson College Division,2009-02,['Psychology'],
Mother S Table Father S Chair,"Supplementing the narratives of her informants with her own commentary and interpretations, Thursby clarifies the role of women in the transformation of Basques into Basque Americans.",['Jacqueline S. Thursby'],,1999,['Social Science'],
The National Review Treasury of Classic Children's Literature,"A collection of over forty stories, tales, poems, and fables by American writers from the late nineteenth and early twentieth centuries, originally published in ""St. Nicholas Magazine.""","['William F. Buckley, Jr.']",Isi Books,2004-04-01,['Juvenile Fiction'],
Transforming Social Work Practice.,"This book offers students a solid grounding in the core knowledge and skills of communication needed for effective practice. It takes the key theories and explains them in a systematic and practice-related way, to help undergraduate and postgraduate students develop a critical understanding of the subject.",['Juliet Koprowska'],SAGE,2020-02-24,['Social Science'],
Country of Exiles: The Destruction of Place in American Life,Analyzes two contradictory patterns of American behavior--a willingness to pull up stakes and the determination to put down roots--and their influence on history,['William Leach'],Pantheon,1999,['History'],
The Fall and Rise of the Stately Home,"Forget glossy period dramas, here is the real story of Britain's super-rich from the First World War to the end of the 'roaring' twenties.",['Pamela Horn'],Amberley Publishing Limited,2013-10-15,['History'],1.0
Music with the Brain in Mind,"... With sections devoted to theory, as well as practical strategies and applications for the classroom ... a primer on how the body hears music to music's impact on stress level, perceptual-motor skills, memory, and emotional intelligence ... Included are tips for choosing music and the various benefits of various music types -- cf. back cover.",['Eric Jensen'],Corwin,2000-02-16,['Education'],
Goju Ryu Karate Do: Fundamentals for Traditional Practitioners,,['Motoo Yamakura'],Gkk Publications,1997-05-01,['Sports & Recreation'],
"Topol's Treasury of Jewish Humor, Wit and Wisdom",,['Topol'],Barricade Books Incorporated,1994,['Humor'],
Writing for Myself (and ticking everybody else off!),"Selections from the author's weekly newspaper column ""The Clarion Call."" Covers Genesee Valley history and politics from the years 1989-2002, as well as personal and business struggles and opinions on state, national and international issues.",['Corrin Strong'],,2003,['Livingston County (N.Y.)'],
Alias Billy the Kid: The Man Behind the Legend (Western Legacy Series),Traces the brief and violent life of the outlaw who gained notoriety throughout the West,['Donald Cline'],Sunstone Press,1986,['Biography & Autobiography'],
Wet Work,"Charley Becker, head of one of America’s biggest conglomerates, is a man on a mission. His only granddaughter, the beloved Natasha, has been found dead in her flat after taking an accidental overdose of cocaine and now he wants revenge. Determined to find the men responsible, Charley starts by tracking down Natasha’s boyfriend, Tim. Then he finds the small-time dealers who supplied him. Charley’s way of doing business leaves no room for negotiation. But ‘wet work’—the shooting of a victim from up close—is only half the story and the further up the chain Charley gets, the higher the stakes become. To nail Peru’s megalomaniac cocaine king, he will have to hire himself some hit men, a gunboat and some truly extraordinary weaponry . . .",['Christopher Buckley'],Knopf,2011-11-16,['Fiction'],5.0
Midnight Flame (Heartfire),"Convinced that she was responsible for his uncle's death, Tony Duvalier decides to use his love affair with Laurel Delaney to enact his revenge",['Lynette Vinet'],Zebra Books,1988-07-01,['Fiction'],
In Service to American Pharmacy: The Professional Life of William Procter Jr. (History Amer Science & Technol),"The position of the pharmacist in the structure of health care in the United States evolved during the middle half of the 19th century, roughly from the founding of the Philadelphia College of Pharmacy in 1821 to the passage of meaningful pharmaceutical legislation in the 1870s. Higby examines the professional life of William Procter, Jr., generally regarded as the “ Father of American Pharmacy,” and follows the development of American pharmacy through four decades of Procter’ s professional commitment to the field.",['Gregory J. Higby'],University of Alabama Press,2015-11-15,['Biography & Autobiography'],
The New Revised Standard Version Bible with Apocrypha,"Though they are regularly used in both Protestant and Roman Catholic congregations, the books of the Apocrypha are difficult to find in affordable English Bibles today--until now Readers will enjoy the NRSV's contemporary, literal translation and the easy-to-read text. Churches that reference the Apocrypha in liturgy and worship will appreciate the quality and price of these outstanding editions for presentation, and outreach. Gift & Award Bible - Superior quality at an unbeatable price - Three classic colors--black, blue, and burgundy--complement any sanctuary interior - Hardcover, 1,120 pages, 51/2 x 81/2 inches - Readable 9-point type - Color maps and presentation page About the Translation Translated by a multi-denominational committee, and based on the original Hebrew, Greek, and Aramaic, the New Revised Standard Version is widely used by English-speaking congregations throughout the world. About the Apocrypha The Apocrypha is a collection of books found in the Septuagint--the Greek version of the Jewish Bible. Though not incorporated into the final, canonical version of the Hebrew scriptures, it was included in important Bible translations such as the Latin Vulgate and the original King James Version of 1611. For centuries the books of the Apocrypha have had a significant influence on Christian art, literature, and theology.",['Hendrickson Publishers'],Hendrickson Publishers,2005-08,['Bibles'],1.0
Sharks/Other Scary Predators (Giant Book of),"Surveys animals who hunt on land and in the sea, including big cats, bears, crocodiles, snakes, and sharks.",['Jim Pipe'],Copper Beach Books,1999,['Juvenile Nonfiction'],
Sandwich Glass,"A history of and collectors guide to nineteenth-century glass manufacturing in South Boston""",['Joan E. Kaiser'],UPNE,2009,['Antiques & Collectibles'],
At The Feet Of The Master,"The privilege is given to me, as an elder, to pen a word of introduction to this little book, the first written by a younger Brother, young in body verily, but not in Soul. The teachings contained in it were given to him by his Master in preparing him for Initiation, and were written down by him from memory - slowly and laboriously, for his English last year was far less fluent than it is now. The greater part is a reproduction of the Master's own words; that which is not such a verbal reproduction is the Master's thought clothed in His pupil's words. Two omitted sentences were supplied by the Master. In two other cases an omitted word has been added. Beyond this, it is entirely Alcyone's own, his first gift to the world. May it help others as the spoken teachings helped him - such is the hope with which he gives it. But the teaching can only be fruitful if it is lived, as he has lived it, since it fell from the Master's lips. If the example be followed as well as the precept, then for the reader, as for the writer, shall the great Portal swing open, and his feet be set on the Path. Annie Besant.",['Jiddu Krishnamurti'],Standard Publications Incorporated,2006,['Religion'],
Joy (Fruit of the Spirit),The Fruits of the Spirit series - Volume Four,['Neal Frisby'],20th Century Life Publications,1977-11-05,,
"Practical French review;: Grammar and composition,",,"['Francis Brown Barton', 'Edward Hinman Sirich']",Prentice Hall,1954,['French language'],
RCA,This manual provides instructions for implementing PL 95-192 the Resources Conservation Act of 1977 (RCA).,['United States. Soil Conservation Service'],,1978,['Soil conservation'],
Pictures of the Night,"Are you a night owl looking to make stunning images of streetscapes, fireworks, or the night sky? Do you like to bend time with long exposure photography? Do star trails or lightning strikes inspire you? Then this book is for you! In Night Photography: From Snapshots to Great Shots, photographer Gabriel Biderman brings you the basics of digital night photography—exposure, composition, and light—and how to scout and capture different nocturnal locations once the sun goes down. Gabriel will help you understand the fundamentals and bring your unique artistic expression to any night situation. In this beautifully illustrated guide you will: Focus in the dark and master basic composition rules—and know when to break them Understand metering and switch to manual mode for more control over your exposure Set white balance, understand color temperature, and add flash or slow sync Explore color, light painting, and creative ways to play with light in your images Learn what gear works best for your style of shooting and strategies for operating your equipment in the dark Discover expert techniques for post-processing your nighttime images in Lightroom and Photoshop Beautifully illustrated with large, compelling photos, this book teaches you how to take control of your photography to get the image you want every time. And once you have the shot, show it off and join the book’s Flickr group: www.flickr.com/groups/night_fromsnapshotstogreatshots","['Gabriel Biderman', 'Tim Cooper']",Peachpit Press,2013-11-13,['Photography'],1.0
Desktop Yoga,"For most of us, our desk is like a second home. In fact, we probably spend more time glued to our desks than at home. This often results in severe backache, frozen shoulder, difficulty in walking and body pain. All this affects the quality of life and work, yet we don't do anything about it and keep putting it off. Desktop Yoga solves your dilemma in a flash because it gives you simple and effective yoga exercises that you can do at your desk itself.",['Bharat Thakur'],SCB Distributors,2011-02-02,['Health & Fitness'],
A Kids' Guide to Building Forts,"Presents a brief history of forts, step-by-step instructions for building indoor and outdoor forts, hints on where to obtain materials, and safety tips.","['Tom Birdseye', 'Bill Klein']",Rowman & Littlefield,1993,['Juvenile Nonfiction'],1.0
ZOMBIE LOVER (XANTH),"Something’s rotten in the land of Xanth—and it’s not just the undead—in this “cheeky” adventure in the New York Times–bestselling series (Publishers Weekly). Horrors and hilarity collide as a fate far worse than death awaits a vivacious young visitor to “the Florida-shaped fantasy land where anything goes and the puns pack every page” (Kirkus Reviews). Breanna, a beautiful young newcomer to the enchanted land of Xanth, must deal with a distressing dilemma. She has unwittingly attracted the affections of King Xeth, ruler of Xanth’s Zombies, who yearns to make her queen of the undead! Her quest to preserve her innocence, and find her destiny, takes her on an exhilarating excursion packed with perils, puzzles, and piles of puns. Zombie Lover will provide a profusion of macabre merriment.",['Piers Anthony'],Open Road Media,2019-11-05,['Fiction'],3.0
Teach Yourself 101 Key Ideas: Philosophy,"This series offers lively overviews of compelling topics. Perfect for students or general interest readers, each title provides an interesting and informative account of 101 key ideas, arranged in alphabetical order. No need to read cover to cover-readers can just dip in and find the explanation they need.",['Paul Oliver'],,2003,['Philosophy'],
Adult Leukemia: A Comprehensive Guide for Patients and Families,"Defines leukemia; describes symptoms and diagnosis; explains tests; and discusses prognosis, treatment options, side effects, support needs, financial aspects, and research aids.",['Barbara B. Lackritz'],Patient-Centered Guides,2001,['Family & Relationships'],
The Night the Monster Came,"After finding giant footprints in the snow, Andy is sure that Bigfoot is stalking his house.",['Mary Calhoun'],,1982,['Bears'],
Body Self: take ACTION in your quest for Positive Body Image & More Self-Confidence,(see back cover image that I sent.),['Melissa Dodd'],iUniverse,2002-08-01,['Self-Help'],
Best Laid Schemes (Regency Romance),"Presents a comprehensive guide for librarians and readers' advisors, provides a brief history of the romance novel, and offers reading lists and subgenre definitions.",['Kristin Ramsdell'],ABC-CLIO,2012,['Language Arts & Disciplines'],
Mediating Dangerously: The Frontiers of Conflict Resolution,"Sometimes it's necessary to push beyond the usual limits of themediation process to achieve deeper and more lasting change.Mediating Dangerously shows how to reach beyond technical andtraditional intervention to the outer edges and dark places ofdispute resolution, where risk taking is essential and fundamentalchange is the desired result. It means opening wounds and lookingbeneath the surface, challenging comfortable assumptions, andexploring dangerous issues such as dishonesty, denial, apathy,domestic violence, grief, war, and slavery in order to reach adeeper level of transformational change. Mediating Dangerously shows conflict resolution professionals howto advance beyond the traditional steps, procedures, and techniquesof mediation to unveil its invisible heart and soul and to revealthe subtle and sensitive engine that drives the process of personaland organizational transformation. This book is a major newcontribution to the literature of conflict resolution that willinspire and educate professionals in the field for years to come.",['Kenneth Cloke'],John Wiley & Sons,2002-02-28,['Family & Relationships'],1.0
Alaska: Southeast to McKinley,"Record of a photographic journey divided into three chapters according to geographic region: southeast, south central and southwest. Each section includes an essay written by an Alaskan specialist, and an introductory chapter deals with the issue of wilderness preservation versus industrial development.","['Andrew Jaffe', 'Lisa Tysen', 'Sven-Olof Lindblad']",Rizzoli International Publications,1986,['Photography'],
Lenin's Tomb: The Last Days of the Soviet Empire,"Winner of the Pulitzer Prize One of the Best Books of the Year: The New York Times From the editor of The New Yorker: a riveting account of the collapse of the Soviet Union, which has become the standard book on the subject. Lenin’s Tomb combines the global vision of the best historical scholarship with the immediacy of eyewitness journalism. Remnick takes us through the tumultuous 75-year period of Communist rule leading up to the collapse and gives us the voices of those who lived through it, from democratic activists to Party members, from anti-Semites to Holocaust survivors, from Gorbachev to Yeltsin to Sakharov. An extraordinary history of an empire undone, Lenin’s Tomb stands as essential reading for our times.",['David Remnick'],Vintage,2014-04-02,['History'],6.0
"Reporting World War II, Part 1: American Journalism, 1938-1944 (Library of America)","Includes the work of nearly ninety writers, including Ernie Pyle, Martha Gellhorn, A.J. Liebling, and Edward R. Murrow, capturing the urgency of events as they happened","['Samuel Hynes', 'Anne Matthews', 'Nancy Caldwell Sorel']",Library of America Classic Jou,1995-09,['History'],5.0
White Rock Ways,"Enjoy free will, but prepare for destiny. Welcome to Book 2 of Rae Crossmon's White Rock Series. Familiar faces. New players. Ancient conflicts. Fresh battles. One overriding sentiment: Free will is a terrible thing. But it’s better than the alternative. Jessica McConsas is in love with three men. Perhaps one is evil. Perhaps one is good. Perhaps one is just a catalyst. But it's never that easy when it comes to White Rock. While campaigning for her father, Jessica becomes involved with Piers, a reclusive and mysterious young man. She also finds an unlikely ally in an old friend, Vance Munroe Easton, who helps her discover the truth behind a dark family mystery. Last but not least, Jess struggles to forget Evan Helmsley and their night in the snowstorm, something much easier said than done. On the other side of the country, Evan learns how to be a friend, with the help of an extraordinary woman. Sondra has her own secrets, but she doesn't share them until it's too late. Her decisions offer Evan a chance to redeem himself by taking responsibility for another child—maybe doing it right this time. Evan’s sister Henri has to decide how much she believes in old legends, while her lover Byrne finds he is still capable of being surprised. When Henri finally meets the daughter she gave away, an old dream collides harshly with reality. A new family joins the fray. When Anderson Annolla conceives a young child from a vacation tryst, she becomes caught in an old war between Jackson, the father of her son, and Jarenth, his half-brother. Andy must ally with Jarenth to save Heath, while protecting a dark secret from her own past. Jack’s resentment and jealousy fuel a decision to hurt Andy with an action that has tragic consequences for all involved. Rae Crossmon's ""twisted fairy tales"" highlight an ancient Slavic legend wrapped in modern suspense stories. Each book builds toward a final conflict between ancient enemies while exploring themes such as free will vs. fate, family secrets, and the status of myth in contemporary American society.",['Rae Crossmon'],Rae Crossmon,2013-09-01,['Fiction'],
"Collected Poems, 1920-1954: Revised Bilingual Edition","A strong, idiomatic translation of Italy's greatest modern poet. Eugenio Montale is universally recognized as having brought the great Italian lyric tradition that began with Dante into the twentieth century with unrivaled power and brilliance. Montale is a love poet whose deeply beautiful, individual work confronts the dilemmas of modern history, philosophy, and faith with courage and subtlety; he has been widely translated into English and his work has influenced two generations of American and British poets. Jonathan Galassi's versions of Montale's major works--Ossi di seppia, Le occasioni, and La bufera e altro--are the clearest and most convincing yet, and his extensive notes discuss in depth the sources and difficulties of this dense, allusive poetry. This book offers English-language readers uniquely informed and readable access to the work of one of the greatest of all modern poets.",['Eugenio Montale'],"Farrar, Straus and Giroux",2012-01-03,['Poetry'],
Situations: A Casebook of Virtual Realities for the English Teacher,"Presents various challenging situations English teachers will most likely face, and provides questions to consider and thoughts on each issue. Covers such areas as lessons that flop, the paper load, curriculum, second-language learners, abused students, and attacks on the teacher's competence.","['Betty Jane Wagner', 'Mark Larson']",Boynton/Cook,1995,['Education'],
